970 2612
379 964 925
371 664 738
220 643 934
426 969 443
291 73 357
895 693 940
656 883 754
895 618 245
906 872 442
504 698 524
482 313 186
226 896 279
563 730 786
950 176 550
845 715 357
528 618 963
36 953 716
510 152 520
88 455 91
774 102 463
804 236 437
13 441 668
907 386 36
308 708 430
397 820 290
124 340 474
209 219 923
333 214 486
271 235 584
340 138 295
547 635 794
58 97 114
402 201 635
275 892 645
672 306 277
10 448 938
108 315 252
41 347 946
867 547 355
282 954 978
204 707 163
777 177 995
322 109 837
136 764 885
370 334 857
865 474 984
867 178 615
965 581 447
298 619 470
707 138 551
72 553 51
800 22 703
381 411 970
315 513 162
963 371 192
364 116 278
697 853 762
211 504 381
107 259 691
75 193 751
901 83 232
581 556 568
556 801 603
689 327 526
748 574 589
751 468 641
589 516 786
185 67 653
114 136 602
81 393 823
283 145 10
659 504 236
925 623 91
752 481 493
666 211 910
47 661 94
381 820 485
186 469 260
252 471 478
284 840 554
212 16 607
827 12 56
646 114 276
390 876 671
554 363 127
140 595 826
315 67 156
182 505 511
392 106 578
504 432 221
591 607 848
224 702 364
558 555 162
398 609 543
895 839 421
749 553 446
119 950 355
503 711 883
514 486 56
898 821 215
908 679 474
808 349 173
463 765 697
643 113 986
201 475 923
740 841 573
22 739 239
712 435 682
681 815 972
929 934 432
639 92 401
468 519 918
789 100 441
673 374 54
415 717 2
709 970 298
711 27 675
416 611 579
556 550 325
195 343 568
812 187 882
903 797 669
9 53 661
533 310 894
576 611 833
315 319 355
320 259 483
247 425 525
252 187 567
603 663 946
58 471 617
929 374 411
54 47 711
404 191 402
612 323 411
586 28 667
158 449 613
877 892 625
232 889 290
124 426 413
570 467 288
203 243 594
166 910 874
470 629 174
654 178 920
284 127 894
130 638 972
368 476 313
80 959 619
428 209 947
824 874 415
841 593 116
54 547 267
749 182 325
516 94 892
401 325 600
812 343 150
752 353 146
929 855 511
652 179 168
753 398 105
588 562 761
73 153 48
752 882 869
306 276 394
627 380 141
266 793 305
516 438 773
614 890 403
395 931 453
525 886 592
96 832 712
649 446 689
820 433 449
590 149 250
245 168 853
325 503 155
248 415 421
313 670 395
200 869 584
119 953 768
782 552 881
288 852 546
780 479 737
680 746 163
632 288 228
299 127 951
424 715 173
471 784 470
250 791 424
203 229 564
209 147 716
424 405 424
178 152 532
639 193 403
428 499 921
63 308 878
182 956 841
271 518 546
395 862 359
405 922 831
823 580 110
830 495 926
507 449 574
43 348 948
45 408 97
126 576 335
596 231 824
423 59 378
898 432 25
148 373 649
687 816 693
174 786 95
122 687 362
872 392 814
308 336 99
873 355 177
460 75 277
548 230 43
190 645 679
531 65 17
158 38 527
947 228 686
756 112 892
534 907 326
285 427 129
567 209 239
913 162 807
400 885 673
199 367 952
337 723 923
386 248 681
702 500 342
573 586 636
32 634 574
525 287 221
456 62 381
48 165 411
804 754 749
146 755 503
6 275 200
803 639 98
324 40 958
607 783 376
821 397 234
536 795 657
138 145 484
627 414 722
766 290 428
263 99 935
583 7 200
936 39 681
239 703 308
854 311 664
644 703 448
349 806 905
312 70 522
472 504 885
43 908 269
276 294 678
672 76 182
11 427 761
153 580 944
862 794 899
556 296 566
173 711 765
50 303 40
85 161 952
255 245 457
393 47 366
161 671 187
579 83 794
651 844 989
512 346 781
520 962 905
940 791 737
636 816 409
672 323 122
156 815 23
966 79 181
552 597 350
